Name,Instance count,Size (bytes)
java.lang.invoke.LambdaForm$BasicType,6,192
sun.invoke.util.Wrapper[ ],6,456
org.apache.lucene.index.SegmentInfos,6,384
java.util.LinkedHashMap$LinkedValueIterator,6,192
java.util.LinkedHashMap$LinkedKeySet,6,96
sun.security.util.MemoryCache$SoftCacheEntry,6,336
sun.security.x509.CertificateSerialNumber,6,96
java.util.Collections$SynchronizedMap,6,192
sun.security.x509.X509CertInfo,6,336
sun.security.x509.CertificateX509Key,6,96
sun.security.x509.SerialNumber,6,96
sun.security.x509.KeyIdentifier,6,96
sun.security.x509.CertificateValidity,6,144
sun.security.util.BitArray,6,144
sun.security.util.Cache$EqualByteArray,6,144
sun.security.x509.CertificateAlgorithmId,6,96
sun.security.x509.X509CertImpl,6,480
sun.security.x509.CertificateVersion,6,96
java.lang.invoke.BoundMethodHandle$SpeciesData[ ],6,240
java.util.regex.Pattern$5,6,144
java.lang.invoke.LambdaFormEditor$Transform,6,336
java.util.regex.Pattern$CharPropertyNames$2,6,144
sun.nio.fs.NativeBuffer$Deallocator,6,144
sun.nio.fs.NativeBuffer,6,192
sun.security.util.DisabledAlgorithmConstraints$KeySizeConstraint$Operator,6,144
org.apache.lucene.index.FieldInfo[ ],6,288
sun.reflect.generics.tree.FieldTypeSignature[ ],5,104
com.jprofiler.agent.LockManager$a,5,80
java.lang.invoke.DirectMethodHandle$Constructor,5,200
java.util.TreeSet,5,80
java.util.concurrent.atomic.AtomicBoolean,5,80
java.lang.reflect.Type[ ],5,96
org.apache.lucene.index.MergeTrigger,5,120
com.jprofiler.agent.util.a.i$a[ ],5,400
org.apache.lucene.index.IndexOptions,5,120
com.sun.proxy.$Proxy2,5,80
com.jprofiler.agent.util.a.i,5,240
org.apache.lucene.store.IOContext,5,160
com.jprofiler.agent.probe.c.a$a,5,80
org.apache.lucene.index.DocumentsWriterDeleteQueue,5,200
org.apache.lucene.index.DocumentsWriterDeleteQueue$Node,5,120
sun.reflect.BootstrapConstructorAccessorImpl,5,80
int[ ][ ],5,296
org.apache.lucene.index.FreqProxFields$FreqProxDocsEnum,5,240
java.util.Formatter$FixedString,5,120
java.lang.invoke.BoundMethodHandle$SpeciesData,5,200
java.security.MessageDigest$Delegate,5,160
sun.nio.fs.WindowsPathType,5,120
sun.misc.FloatingDecimal$PreparedASCIIToBinaryBuffer,5,120
org.apache.log4j.helpers.PatternParser,5,240
org.apache.log4j.helpers.OnlyOnceErrorHandler,5,120
org.apache.log4j.helpers.PatternParser$LocationPatternConverter,5,200
org.apache.log4j.helpers.FormattingInfo,5,120
org.apache.log4j.helpers.PatternParser$DatePatternConverter,5,200
org.apache.log4j.PatternLayout,5,160
org.apache.log4j.helpers.PatternParser$CategoryPatternConverter,5,200
java.util.LinkedList$Node,5,120
sun.util.locale.provider.LocaleProviderAdapter$Type,5,160
java.util.regex.Pattern$Dot,4,64
sun.net.www.protocol.jar.Handler,4,64
java.util.Stack,4,128
com.sun.proxy.$Proxy1,4,64
org.apache.lucene.document.FieldType$NumericType,4,96
java.io.DataOutputStream,4,128
org.apache.lucene.store.IOContext$Context,4,96
org.apache.lucene.util.CloseableThreadLocal,4,96
org.apache.lucene.document.Field$StringTokenStream,4,192
com.jprofiler.agent.util.a.a.b.n$c[ ],4,128
java.text.Normalizer$Form,4,96
javax.security.auth.x500.X500Principal,4,64
sun.security.provider.SHA,4,224
javax.crypto.Cipher$Transform,4,128
java.util.TreeMap$ValueIterator,4,128
java.nio.DirectByteBuffer$Deallocator,4,128
sun.nio.fs.NativeBuffer[ ],4,128
org.apache.log4j.RollingFileAppender,4,352
org.apache.log4j.helpers.AppenderAttachableImpl,4,64
org.apache.log4j.helpers.CountingQuietWriter,4,160
org.apache.lucene.util.packed.PackedLongValues$Iterator,4,128
byte[ ][ ],4,1720
float[ ],3,1120
java.util.Collections$SingletonSet,3,48
java.nio.file.StandardCopyOption,3,72
java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet,3,48
sun.reflect.generics.tree.FormalTypeParameter[ ],3,56
java.nio.channels.FileChannel$MapMode,3,48
java.util.concurrent.ConcurrentLinkedQueue,3,72
java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$1,3,72
com.sun.nio.file.ExtendedOpenOption,3,72
sun.nio.fs.WindowsDirectoryStream,3,144
sun.nio.fs.WindowsDirectoryStream$WindowsDirectoryIterator,3,96
org.apache.lucene.index.IndexWriterConfig$OpenMode,3,72
sun.misc.URLClassPath$JarLoader$2,3,96
org.apache.lucene.util.NamedSPILoader,3,72
org.apache.lucene.util.packed.DeltaPackedLongValues,3,144
java.lang.ClassValue$Identity,3,48
java.lang.ClassValue$Version,3,72
sun.misc.URLClassPath,3,144
sun.net.www.ParseUtil,3,48
java.util.WeakHashMap$KeySet,3,48
org.apache.lucene.index.IndexFileDeleter$CommitPoint,3,144
java.lang.StringCoding$StringDecoder,3,96
java.nio.charset.CodingErrorAction,3,48
java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl,3,96
org.apache.lucene.index.BufferedUpdatesStream$ApplyDeletesResult,3,96
java.lang.ClassNotFoundException,3,120
org.apache.lucene.util.fst.BytesRefFSTEnum$InputOutput,3,72
org.apache.lucene.util.fst.BytesRefFSTEnum,3,168
com.jprofiler.agent.JProfilerThreadManager,3,144
org.apache.lucene.analysis.util.CharArrayMap$UnmodifiableCharArrayMap,3,144
com.jprofiler.agent.probe.e.e,3,72
java.lang.annotation.RetentionPolicy,3,72
java.lang.invoke.LambdaForm[ ],3,624
java.util.zip.ZipEntry,3,240
com.jprofiler.agent.probe.b.d,3,48
org.apache.lucene.index.FieldInfos,3,120
com.jprofiler.api.agent.ProbeObjectType,3,72
sun.security.provider.SecureRandom,3,96
java.net.Inet6Address,3,96
javax.crypto.CryptoPermissions,3,72
java.net.Inet6Address$Inet6AddressHolder,3,96
sun.security.provider.DSAParameters,3,72
sun.text.normalizer.NormalizerBase$QuickCheckResult,3,48
org.apache.lucene.util.fst.FST$INPUT_TYPE,3,72
sun.security.provider.DSAPublicKeyImpl,3,120
java.security.AlgorithmParameters,3,96
java.util.Base64$Encoder,3,72
java.util.Base64$Decoder,3,48
sun.security.x509.SubjectKeyIdentifierExtension,3,96
sun.security.x509.AuthorityKeyIdentifierExtension,3,120
sun.security.x509.CertificateExtensions,3,72
sun.security.rsa.RSAPublicKeyImpl,3,120
java.io.ByteArrayOutputStream,3,72
java.util.Formatter$Flags[ ],3,88
java.lang.invoke.BoundMethodHandle$Species_LL,3,120
java.security.ProtectionDomain[ ],3,72
java.text.AttributedCharacterIterator$Attribute,3,48
java.lang.annotation.Annotation[ ],3,48
java.util.Formatter$FormatSpecifier,3,120
java.util.TreeMap$Values,3,48
sun.nio.ch.Util$BufferCache,3,72
sun.misc.FloatingDecimal$ExceptionalBinaryToASCIIBuffer,3,72
java.security.SecurityPermission,3,72
java.util.RegularEnumSet,3,96
sun.misc.FloatingDecimal$BinaryToASCIIBuffer,3,120
org.apache.log4j.ProvisionNode,3,96
org.apache.log4j.spi.LocationInfo,3,96
sun.util.resources.ParallelListResourceBundle$KeySet,3,72
java.util.concurrent.atomic.AtomicMarkableReference,3,48
java.util.concurrent.atomic.AtomicMarkableReference$Pair,3,72
sun.util.locale.provider.LocaleServiceProviderPool,3,96
org.apache.lucene.index.NormValuesWriter$NumericIterator,3,96
org.apache.lucene.index.SegmentWriteState,3,144
java.util.Collections$1,2,48
com.sun.beans.WeakCache,2,32
java.lang.reflect.TypeVariable[ ],2,40
sun.reflect.generics.tree.ClassTypeSignature[ ],2,48
sun.reflect.generics.tree.ClassSignature,2,48
java.util.Vector$1,2,48
sun.reflect.generics.factory.CoreReflectionFactory,2,48
java.nio.file.StandardOpenOption[ ],2,112
sun.nio.ch.SharedFileLockTable,2,48
java.lang.InterruptedException,2,64
org.apache.lucene.store.TrackingDirectoryWrapper,2,48
java.util.jar.JarVerifier$3,2,32
sun.nio.ch.FileLockImpl,2,80
org.apache.lucene.analysis.standard.StandardTokenizerImpl,2,144
sun.nio.ch.FileKey,2,80
java.nio.file.FileAlreadyExistsException,2,80
org.apache.lucene.index.FlushByRamOrCountsPolicy,2,48
org.apache.lucene.index.ConcurrentMergeScheduler,2,112
xaurora.io.IDGenerator,2,32
